campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00003626,2023-10,Midsize / 3-Row SUV,Current Model Year,PHEV,Email – CRM,Yes,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,47,No,Growing,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00003627,2023-05,Full-Size Pickup,Current Model Year,BEV,Paid Social,No,5,US – Major Metro,Steady State,Light Incentives,Moderate,High – Over 60,Flat,Generic,No,41,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00003628,2022-03,Compact SUV / Crossover,Next MY Pre-Order,ICE,Paid Social,No,4,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Flat,Generic,No,51,No,Early Market,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00003629,2023-04,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Dealer Co-op – Local Digital,Yes,1,US – Major Metro,Runout / End of Generation,Light Incentives,Moderate,Balanced,Flat,Generic,No,49,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00003630,2023-09,EV Crossover,Current Model Year,BEV,Paid Search,No,7,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,48,Yes,Growing,Typical,New Vehicle Focus,Tightening,No,1
AMK-00003631,2023-09,Performance / Specialty,Current Model Year,ICE,Paid Social,Yes,8,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,High – Over 60,Flat,Generic,No,38,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00003632,2024-10,Midsize Sedan,Current Model Year,Hybrid,Paid Social,Yes,9,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,No,37,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00003633,2025-07,EV Crossover,Prior Year Closeout,Hybrid,Paid Social,Yes,4,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,40,Yes,Early Market,Typical,New Vehicle Focus,Benign,No,1
AMK-00003634,2024-02,Midsize / 3-Row SUV,Current Model Year,BEV,Auto Show / Experiential,Yes,10,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Generic,No,31,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,1
AMK-00003635,2024-03,EV Crossover,Current Model Year,BEV,Programmatic Video / CTV,No,1,US – Major Metro,Steady State,Light Incentives,Low,High – Over 60,Adverse – Rising APR,Segmented,Yes,40,Yes,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00003636,2025-09,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,7,Other Market,Runout / End of Generation,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,Yes,35,No,Early Market,Typical,Mixed / Undecided,Tightening,No,0
AMK-00003637,2023-08,EV Crossover,Prior Year Closeout,ICE,Paid Social,No,8,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,No,38,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003638,2024-08,Compact SUV / Crossover,Current Model Year,PHEV,Paid Search,Yes,3,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,Yes,32,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00003639,2024-02,Midsize / 3-Row SUV,Current Model Year,PHEV,Paid Social,No,9,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,36,No,Growing,Typical,CPO / Used Consideration,Benign,No,0
AMK-00003640,2023-09,EV Crossover,Current Model Year,ICE,Paid Social,No,4,US – Suburban / Secondary,Mid-Cycle Refresh,Heavy Stair-Step Risk,High – New Entrants,High – Over 60,Flat,Generic,No,44,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003641,2023-06,Full-Size Pickup,Prior Year Closeout,ICE,Auto Show / Experiential,Yes,6,Canada,Steady State,Light Incentives,High – New Entrants,High – Over 60,Flat,Segmented,Yes,35,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003642,2023-06,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Paid Social,No,7,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Segmented,No,44,No,Growing,Typical,Mixed / Undecided,Benign,No,0
AMK-00003643,2023-01,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,Yes,10,Other Market,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,51,No,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003644,2022-02,Midsize / 3-Row SUV,Prior Year Closeout,ICE,OEM Website / App,No,10,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,Generic,No,39,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,No,1
AMK-00003645,2024-03,Full-Size Pickup,Current Model Year,ICE,Programmatic Video / CTV,No,3,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,29,No,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00003646,2024-12,Compact SUV / Crossover,Next MY Pre-Order,ICE,Programmatic Video / CTV,No,9,US – Major Metro,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,31,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,1
AMK-00003647,2023-03,Midsize Sedan,Current Model Year,ICE,Email – CRM,No,4,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,36,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003648,2025-09,Full-Size Pickup,Current Model Year,BEV,Programmatic Video / CTV,Yes,10,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,34,No,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,1
AMK-00003649,2024-12,EV Crossover,Current Model Year,BEV,Paid Social,No,10,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,43,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Benign,Yes,0
AMK-00003650,2022-03,Compact SUV / Crossover,Current Model Year,BEV,Email – CRM,No,7,US – Major Metro,Steady State,Heavy Stair-Step Risk,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,No,41,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003651,2022-08,Midsize Sedan,Current Model Year,BEV,Paid Search,No,4,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,High – Over 60,Adverse – Rising APR,Generic,No,35,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003652,2024-06,Midsize Sedan,Current Model Year,PHEV,Paid Search,No,5,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Low,High – Over 60,Adverse – Rising APR,Generic,Yes,29,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,1
AMK-00003653,2022-12,EV Crossover,Next MY Pre-Order,ICE,Paid Social,Yes,10,Other Market,Runout / End of Generation,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,32,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00003654,2023-08,EV Crossover,Current Model Year,ICE,Email – CRM,Yes,9,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,37,Yes,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,1
AMK-00003655,2022-12,Compact SUV / Crossover,Current Model Year,PHEV,Dealer Co-op – Local Digital,No,3,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,35,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00003656,2024-07,Midsize / 3-Row SUV,Prior Year Closeout,ICE,OEM Website / App,No,8,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,37,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00003657,2024-12,Full-Size Pickup,Current Model Year,ICE,Programmatic Video / CTV,No,2,US – Rural / Exurban,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,39,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00003658,2024-04,Compact SUV / Crossover,Current Model Year,BEV,Email – CRM,Yes,7,Canada,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,28,No,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003659,2024-09,Midsize Sedan,Current Model Year,ICE,Email – CRM,Yes,8,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,No,44,No,Early Market,Low Exposure,Mixed / Undecided,Benign,No,1
AMK-00003660,2024-03,Full-Size Pickup,Current Model Year,BEV,Paid Social,No,6,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,Yes,53,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00003661,2023-05,Midsize Sedan,Current Model Year,PHEV,Programmatic Video / CTV,Yes,3,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Low,High – Over 60,Flat,Segmented,Yes,43,No,Early Market,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00003662,2025-09,Midsize / 3-Row SUV,Current Model Year,ICE,Auto Show / Experiential,No,6,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,High – Over 60,Adverse – Rising APR,Segmented,Yes,37,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,Yes,0
AMK-00003663,2022-07,Midsize / 3-Row SUV,Current Model Year,BEV,Programmatic Video / CTV,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,43,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00003664,2024-07,EV Crossover,Current Model Year,ICE,Paid Social,No,4,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Flat,1:1 Next-Best-Offer,Yes,45,No,Growing,High Fatigue Risk,CPO / Used Consideration,Tightening,No,1
AMK-00003665,2025-04,EV Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,2,US – Rural / Exurban,Steady State,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,Generic,Yes,29,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00003666,2024-04,Compact SUV / Crossover,Next MY Pre-Order,ICE,Paid Search,Yes,7,US – Suburban / Secondary,Steady State,Light Incentives,Low,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,43,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003667,2022-08,Performance / Specialty,Current Model Year,Hybrid,Auto Show / Experiential,No,4,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,33,No,Growing,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00003668,2024-04,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,No,4,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Flat,1:1 Next-Best-Offer,Yes,32,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00003669,2023-02,EV Crossover,Current Model Year,BEV,Paid Social,No,10,US – Major Metro,Steady State,Moderate APR / Cash,Low,Balanced,Flat,Generic,Yes,47,No,Early Market,Typical,CPO / Used Consideration,Constrained,Yes,0
AMK-00003670,2022-07,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,9,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Segmented,No,35,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003671,2023-06,Midsize Sedan,Current Model Year,ICE,Programmatic Video / CTV,Yes,3,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,28,Yes,Early Market,High Fatigue Risk,New Vehicle Focus,Constrained,Yes,1
AMK-00003672,2025-09,Full-Size Pickup,Current Model Year,Hybrid,Paid Social,Yes,8,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,34,No,Growing,Typical,Mixed / Undecided,Tightening,No,0
AMK-00003673,2024-03,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,Yes,9,US – Rural / Exurban,Steady State,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,Segmented,Yes,38,No,Early Market,Typical,New Vehicle Focus,Constrained,No,1
AMK-00003674,2023-11,EV Crossover,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,Yes,3,US – Major Metro,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Segmented,No,35,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00003675,2024-02,Full-Size Pickup,Next MY Pre-Order,ICE,Paid Social,Yes,2,Canada,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Generic,Yes,34,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003676,2024-08,Full-Size Pickup,Prior Year Closeout,ICE,Auto Show / Experiential,No,4,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Generic,No,37,No,Growing,High Fatigue Risk,New Vehicle Focus,Constrained,No,0
AMK-00003677,2024-07,Midsize / 3-Row SUV,Current Model Year,ICE,Programmatic Video / CTV,No,3,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,High – Over 60,Flat,Segmented,No,40,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00003678,2025-08,EV Crossover,Current Model Year,ICE,OEM Website / App,No,1,US – Rural / Exurban,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,38,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003679,2024-06,EV Crossover,Current Model Year,Hybrid,Email – CRM,No,6,US – Suburban / Secondary,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,40,No,Growing,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00003680,2024-10,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,7,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Flat,Segmented,Yes,45,No,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,No,1
AMK-00003681,2022-09,Midsize Sedan,Current Model Year,ICE,Paid Social,Yes,3,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Generic,No,35,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00003682,2022-02,Compact SUV / Crossover,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,Yes,3,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,47,Yes,Growing,Typical,New Vehicle Focus,Tightening,No,1
AMK-00003683,2024-11,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,Yes,8,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,36,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003684,2025-01,EV Crossover,Current Model Year,BEV,Paid Social,Yes,7,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,42,No,Growing,Typical,Mixed / Undecided,Benign,No,1
AMK-00003685,2024-09,Performance / Specialty,Prior Year Closeout,ICE,Email – CRM,No,9,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Flat,Generic,No,35,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00003686,2024-11,Compact SUV / Crossover,Next MY Pre-Order,ICE,Email – CRM,Yes,3,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,40,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003687,2025-09,Full-Size Pickup,Prior Year Closeout,BEV,Paid Search,Yes,3,US – Suburban / Secondary,Runout / End of Generation,Heavy Stair-Step Risk,Moderate,High – Over 60,Flat,Segmented,Yes,28,No,Early Market,High Fatigue Risk,Mixed / Undecided,Benign,No,0
AMK-00003688,2024-10,Midsize / 3-Row SUV,Current Model Year,ICE,Programmatic Video / CTV,Yes,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,27,Yes,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003689,2024-04,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,Yes,9,Canada,Mid-Cycle Refresh,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Generic,No,27,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,Yes,0
AMK-00003690,2024-01,EV Crossover,Current Model Year,ICE,Auto Show / Experiential,Yes,2,US – Major Metro,Runout / End of Generation,Light Incentives,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,No,38,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00003691,2025-08,Performance / Specialty,Current Model Year,ICE,Programmatic Video / CTV,No,5,Canada,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,Segmented,Yes,36,Yes,Growing,Low Exposure,CPO / Used Consideration,Benign,No,1
AMK-00003692,2022-12,Midsize / 3-Row SUV,Current Model Year,BEV,Auto Show / Experiential,Yes,4,US – Major Metro,New Launch / Fresh Reveal,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,30,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003693,2025-05,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,40,No,Early Market,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00003694,2023-01,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,No,10,US – Major Metro,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,High – Over 60,Flat,Segmented,No,37,No,Early Market,Low Exposure,CPO / Used Consideration,Constrained,Yes,1
AMK-00003695,2024-10,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Paid Search,Yes,4,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,39,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00003696,2023-08,Full-Size Pickup,Current Model Year,PHEV,OEM Website / App,No,10,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,34,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00003697,2023-06,Compact SUV / Crossover,Prior Year Closeout,ICE,Email – CRM,No,1,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Flat,Segmented,Yes,29,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00003698,2024-12,Full-Size Pickup,Current Model Year,BEV,Paid Social,Yes,2,US – Rural / Exurban,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,39,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,1
AMK-00003699,2022-07,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,5,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,46,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003700,2025-03,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,3,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,30,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003701,2024-12,Compact SUV / Crossover,Current Model Year,ICE,Auto Show / Experiential,No,9,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Flat,Generic,No,48,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003702,2025-10,Midsize / 3-Row SUV,Current Model Year,ICE,Email – CRM,Yes,9,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Low,Balanced,Flat,Generic,Yes,45,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,1
AMK-00003703,2023-12,Performance / Specialty,Current Model Year,PHEV,Dealer Co-op – Local Digital,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,34,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00003704,2023-02,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,7,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,33,No,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003705,2023-01,Midsize Sedan,Current Model Year,BEV,Paid Search,Yes,4,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,41,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,0
AMK-00003706,2023-02,Midsize / 3-Row SUV,Prior Year Closeout,Hybrid,Dealer Co-op – Local Digital,No,5,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,36,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00003707,2024-11,Full-Size Pickup,Current Model Year,ICE,OEM Website / App,Yes,4,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,High – Over 60,Flat,Generic,No,30,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00003708,2022-05,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,Yes,3,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Generic,No,49,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00003709,2024-08,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,Yes,2,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,Yes,42,No,Growing,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00003710,2023-11,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,4,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,37,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00003711,2025-09,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,4,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,28,No,Early Market,Low Exposure,CPO / Used Consideration,Benign,No,1
AMK-00003712,2023-08,Compact SUV / Crossover,Prior Year Closeout,ICE,Email – CRM,No,8,US – Rural / Exurban,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Favourable vs Prior Quarter,Segmented,No,50,No,Mature EV Penetration,High Fatigue Risk,Mixed / Undecided,Tightening,No,1
AMK-00003713,2024-08,Compact SUV / Crossover,Prior Year Closeout,ICE,OEM Website / App,Yes,10,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,Yes,36,No,Early Market,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00003714,2022-01,EV Crossover,Current Model Year,ICE,Auto Show / Experiential,No,7,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,28,No,Growing,Typical,Mixed / Undecided,Benign,No,0
AMK-00003715,2024-06,Midsize Sedan,Current Model Year,BEV,OEM Website / App,No,5,Other Market,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,No,50,No,Early Market,Typical,New Vehicle Focus,Tightening,No,1
AMK-00003716,2023-07,Full-Size Pickup,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,9,US – Major Metro,Runout / End of Generation,Light Incentives,Moderate,Tight – Under 30,Flat,Segmented,Yes,31,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,1
AMK-00003717,2022-06,Compact SUV / Crossover,Prior Year Closeout,ICE,Programmatic Video / CTV,No,5,Other Market,Steady State,Light Incentives,Moderate,Balanced,Flat,Segmented,Yes,39,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003718,2023-11,Midsize / 3-Row SUV,Current Model Year,ICE,Dealer Co-op – Local Digital,No,5,US – Rural / Exurban,Steady State,Light Incentives,Low,Tight – Under 30,Flat,Generic,No,41,No,Early Market,Typical,Mixed / Undecided,Benign,No,0
AMK-00003719,2023-03,Full-Size Pickup,Current Model Year,ICE,Paid Social,No,9,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,38,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00003720,2025-06,Midsize Sedan,Current Model Year,Hybrid,Email – CRM,No,8,US – Major Metro,Runout / End of Generation,Heavy Stair-Step Risk,Moderate,Balanced,Adverse – Rising APR,Segmented,No,29,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00003721,2024-07,Midsize Sedan,Current Model Year,ICE,Paid Search,No,9,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,43,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00003722,2023-06,Performance / Specialty,Prior Year Closeout,BEV,Email – CRM,No,9,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,Yes,30,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
